,interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_laneDensity,edge_left,edge_numEdges,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_speedRelative,edge_timeLoss,edge_traveltime,edge_waitingTime,rand_seed
141,14100.0,14400.0,cross_junction_ratmalana_probe,0.0,2.97,0.0,40.0,AGGREGATED,8.0,8.0,0.02,37.0,43.0,0.01,5145.9,3933.56,0.86,0.05,3733.85,5368.85,3398.0,14762
142,14100.0,14400.0,wellawatta_kollupitiya_bus,0.0,4.37,0.0,374.0,AGGREGATED,4.0,4.0,0.01,371.0,76.0,0.01,440.78,3029.39,5.27,0.32,880.22,506.25,365.0,14762
143,14100.0,14400.0,wellawatta_kollupitiya_probe,0.0,0.4,0.0,96.0,AGGREGATED,4.0,4.0,0.0,94.0,78.0,0.0,199.17,288.11,12.02,0.72,74.45,201.41,5.0,14762
0,3600.0,3900.0,cross_junction_ratmalana_bus,0.0,1.92,0.0,155.0,AGGREGATED,38.0,38.0,0.01,138.0,45.0,0.02,816.95,2633.38,5.61,0.34,672.81,863.46,347.0,38967
1,3600.0,3900.0,cross_junction_ratmalana_probe,0.0,0.54,0.0,81.0,AGGREGATED,6.0,6.0,0.0,84.0,43.0,0.0,358.46,712.66,12.32,0.74,149.87,354.56,32.0,38967
2,3600.0,3900.0,wellawatta_kollupitiya_bus,,,,,,,,,,,,,,,,,,,38967
3,3600.0,3900.0,wellawatta_kollupitiya_probe,0.0,0.68,2.0,213.0,AGGREGATED,8.0,8.0,0.0,214.0,78.0,0.0,155.22,487.4,15.43,0.93,54.56,154.99,5.0,38967
4,3900.0,4200.0,cross_junction_ratmalana_bus,0.0,5.15,0.0,419.0,AGGREGATED,54.0,54.0,0.04,414.0,45.0,0.04,668.36,7064.29,6.85,0.41,1226.74,692.32,432.0,38967
5,3900.0,4200.0,cross_junction_ratmalana_probe,0.0,0.52,0.0,74.0,AGGREGATED,14.0,14.0,0.0,72.0,43.0,0.0,407.33,689.39,10.84,0.65,213.73,408.64,62.0,38967
6,3900.0,4200.0,wellawatta_kollupitiya_bus,,,,,,,,,,,,,,,,,,,38967
7,3900.0,4200.0,wellawatta_kollupitiya_probe,0.0,1.03,2.0,296.0,AGGREGATED,7.0,7.0,0.0,298.0,78.0,0.0,170.15,736.15,14.07,0.84,79.51,169.92,12.0,38967
8,4200.0,4500.0,cross_junction_ratmalana_bus,0.0,5.31,0.0,400.0,AGGREGATED,60.0,60.0,0.04,401.0,45.0,0.04,676.73,7273.49,6.77,0.4,1394.29,700.3,705.0,38967
9,4200.0,4500.0,cross_junction_ratmalana_probe,0.0,0.58,0.0,93.0,AGGREGATED,21.0,21.0,0.0,93.0,43.0,0.0,338.1,763.64,13.06,0.78,100.78,337.49,4.0,38967
10,4200.0,4500.0,wellawatta_kollupitiya_bus,,,,,,,,,,,,,,,,,,,38967
11,4200.0,4500.0,wellawatta_kollupitiya_probe,0.0,1.22,2.0,342.0,AGGREGATED,8.0,8.0,0.0,343.0,78.0,0.0,176.2,876.16,13.59,0.82,97.58,175.93,12.0,38967
12,4500.0,4800.0,cross_junction_ratmalana_bus,0.0,4.83,0.0,364.0,AGGREGATED,59.0,59.0,0.04,363.0,45.0,0.04,702.59,6623.12,6.52,0.39,826.55,729.44,294.0,38967
13,4500.0,4800.0,cross_junction_ratmalana_probe,0.0,0.59,0.0,92.0,AGGREGATED,17.0,17.0,0.0,92.0,43.0,0.0,339.84,775.95,13.0,0.78,174.46,340.39,68.0,38967
14,4500.0,4800.0,wellawatta_kollupitiya_bus,,,,,,,,,,,,,,,,,,,38967
15,4500.0,4800.0,wellawatta_kollupitiya_probe,0.0,1.0,2.0,297.0,AGGREGATED,7.0,7.0,0.0,300.0,78.0,0.0,165.17,719.23,14.5,0.87,55.96,164.97,0.0,38967
16,4800.0,5100.0,cross_junction_ratmalana_bus,0.0,4.39,0.0,301.0,AGGREGATED,49.0,49.0,0.03,306.0,45.0,0.04,750.58,6019.89,6.1,0.36,839.26,778.27,320.0,38967
17,4800.0,5100.0,cross_junction_ratmalana_probe,0.0,0.49,0.0,68.0,AGGREGATED,14.0,14.0,0.0,69.0,43.0,0.0,404.33,647.16,10.93,0.65,236.91,406.02,96.0,38967
18,4800.0,5100.0,wellawatta_kollupitiya_bus,0.0,0.01,0.0,2.0,AGGREGATED,0.0,0.0,0.0,2.0,76.0,0.0,190.07,5.56,12.22,0.73,0.13,189.85,0.0,38967
19,4800.0,5100.0,wellawatta_kollupitiya_probe,0.0,1.02,2.0,309.0,AGGREGATED,13.0,13.0,0.0,311.0,78.0,0.0,162.32,729.52,14.75,0.88,57.31,161.95,1.0,38967
20,5100.0,5400.0,cross_junction_ratmalana_bus,0.0,4.04,0.0,299.0,AGGREGATED,40.0,40.0,0.03,297.0,45.0,0.03,725.09,5532.89,6.32,0.38,710.43,751.33,173.0,38967
21,5100.0,5400.0,cross_junction_ratmalana_probe,0.0,0.77,0.0,94.0,AGGREGATED,29.0,29.0,0.01,91.0,43.0,0.0,433.43,1024.25,10.19,0.61,422.24,436.49,160.0,38967
22,5100.0,5400.0,wellawatta_kollupitiya_bus,0.0,2.41,0.0,337.0,AGGREGATED,11.0,11.0,0.01,326.0,76.0,0.01,267.59,1670.95,8.68,0.52,222.45,288.79,51.0,38967
23,5100.0,5400.0,wellawatta_kollupitiya_probe,0.0,0.94,2.0,277.0,AGGREGATED,8.0,8.0,0.0,277.0,78.0,0.0,166.01,676.25,14.42,0.87,69.32,165.76,14.0,38967
24,5400.0,5700.0,cross_junction_ratmalana_bus,0.0,5.45,0.0,352.0,AGGREGATED,60.0,60.0,0.04,343.0,45.0,0.05,827.53,7469.82,5.53,0.33,1915.62,862.64,1003.0,38967
25,5400.0,5700.0,cross_junction_ratmalana_probe,0.0,1.13,0.0,100.0,AGGREGATED,22.0,22.0,0.01,101.0,43.0,0.0,634.76,1499.93,6.96,0.42,833.67,643.66,538.0,38967
26,5400.0,5700.0,wellawatta_kollupitiya_bus,0.0,6.29,0.0,717.0,AGGREGATED,16.0,16.0,0.02,715.0,76.0,0.02,337.96,4357.61,6.87,0.41,834.78,382.42,280.0,38967
27,5400.0,5700.0,wellawatta_kollupitiya_probe,0.0,1.29,2.0,379.0,AGGREGATED,18.0,18.0,0.0,384.0,78.0,0.0,167.21,928.12,14.32,0.86,105.15,167.05,4.0,38967
28,5700.0,6000.0,cross_junction_ratmalana_bus,0.0,6.1,0.0,406.0,AGGREGATED,67.0,67.0,0.05,405.0,45.0,0.05,805.3,8356.69,5.69,0.34,2058.48,838.98,933.73,38967
29,5700.0,6000.0,cross_junction_ratmalana_probe,0.0,0.85,0.0,91.0,AGGREGATED,23.0,23.0,0.01,91.0,43.0,0.0,508.72,1129.33,8.68,0.52,492.24,512.43,128.0,38967
30,5700.0,6000.0,wellawatta_kollupitiya_bus,0.0,4.27,0.0,447.0,AGGREGATED,8.0,8.0,0.01,454.0,76.0,0.01,357.02,2957.99,6.5,0.39,625.21,390.93,279.0,38967
